Designator,Mid X,Mid Y,Layer,Rotation
C1,114.950000mm,-41.000000mm,Top,90
C2,128.000000mm,-43.000000mm,Top,270
C3,130.000000mm,-43.000000mm,Top,270
C4,134.600000mm,-47.525000mm,Top,270
C5,163.000000mm,-42.500000mm,Top,180
C6,163.000000mm,-61.500000mm,Top,180
C7,163.000000mm,-80.500000mm,Top,180
Q1,126.000000mm,-75.000000mm,Top,0
Q2,126.000000mm,-84.000000mm,Top,0
Q3,130.000000mm,-79.050000mm,Top,0
Q4,130.000000mm,-88.000000mm,Top,0
Q5,138.000000mm,-84.500000mm,Top,180
Q6,142.500000mm,-83.000000mm,Top,180
R1,126.000000mm,-78.000000mm,Top,0
R2,126.000000mm,-87.000000mm,Top,0
R3,129.000000mm,-75.000000mm,Top,270
R4,129.000000mm,-84.000000mm,Top,270
R5,133.000000mm,-79.000000mm,Top,90
R6,133.000000mm,-88.000000mm,Top,90
R7,135.000000mm,-79.000000mm,Top,90
R8,135.000000mm,-88.000000mm,Top,90
R9,132.375000mm,-45.200000mm,Top,0
R10,138.000000mm,-81.500000mm,Top,0
R11,137.750000mm,-87.250000mm,Top,180
R12,141.325000mm,-86.000000mm,Top,180
R13,144.000000mm,-86.675000mm,Top,270
U3,122.000000mm,-41.000000mm,Top,180
U4,146.000000mm,-51.000000mm,Top,270
U5,163.000000mm,-46.000000mm,Top,90
U6,163.000000mm,-65.000000mm,Top,90
U7,163.000000mm,-84.000000mm,Top,90
